"anio","pais","iso3","pbi_per_capita_ppa_porcentaje_argentina"
1915,"Brasil","BRA",19.88010056082
1916,"Brasil","BRA",21.0269941140654
1917,"Brasil","BRA",24.4209579491792
1918,"Brasil","BRA",20.1081707552637
1919,"Brasil","BRA",21.8933788654904
1920,"Brasil","BRA",22.4349710982659
1921,"Brasil","BRA",22.4471353696006
1922,"Brasil","BRA",22.4465148378192
1923,"Brasil","BRA",21.6803476581362
1924,"Brasil","BRA",20.4207920792079
1925,"Brasil","BRA",20.7779734272451
1926,"Brasil","BRA",20.4052780395853
1927,"Brasil","BRA",20.6188679245283
1928,"Brasil","BRA",21.812865497076
1929,"Brasil","BRA",21.0458267490303
1930,"Brasil","BRA",20.759649392588
1931,"Brasil","BRA",21.8691904681426
1932,"Brasil","BRA",23.3701460634129
1933,"Brasil","BRA",24.029799029799
1934,"Brasil","BRA",24.0006526350139
1935,"Brasil","BRA",23.5387547649301
1936,"Brasil","BRA",25.5131494547787
1937,"Brasil","BRA",24.4866920152091
1938,"Brasil","BRA",25.3119704205823
1939,"Brasil","BRA",24.6067755595886
1940,"Brasil","BRA",24.2725765113825
1941,"Brasil","BRA",24.5299519020551
1942,"Brasil","BRA",23.1951969541661
1943,"Brasil","BRA",26.4476447644764
1944,"Brasil","BRA",24.4554048499794
1945,"Brasil","BRA",25.8101685150511
1946,"Brasil","BRA",26.0086067778375
1947,"Brasil","BRA",24.112426035503
1948,"Brasil","BRA",25.0358337314859
1949,"Brasil","BRA",27.3958980733375
1950,"Brasil","BRA",28.1293244433262
1951,"Brasil","BRA",28.184516448182
1952,"Brasil","BRA",31.6132464423461
1953,"Brasil","BRA",31.1236967434676
1954,"Brasil","BRA",31.8846056941295
1955,"Brasil","BRA",32.0436032582655
1956,"Brasil","BRA",31.7188983855651
1957,"Brasil","BRA",32.0850086157381
1958,"Brasil","BRA",33.0837828911153
1959,"Brasil","BRA",38.3169739047163
1960,"Brasil","BRA",38.3478162735583
1961,"Brasil","BRA",38.3668664383562
1962,"Brasil","BRA",41.0100563598188
1963,"Brasil","BRA",41.6676250718804
1964,"Brasil","BRA",38.5030700825746
1965,"Brasil","BRA",35.6179222058099
1966,"Brasil","BRA",37.1873759428345
1967,"Brasil","BRA",37.2058823529412
1968,"Brasil","BRA",38.6266094420601
1969,"Brasil","BRA",38.4505661050192
1970,"Brasil","BRA",39.8230088495575
1971,"Brasil","BRA",41.8562026160127
1972,"Brasil","BRA",45.0287592440427
1973,"Brasil","BRA",47.9552438736112
1974,"Brasil","BRA",48.2987052092743
1975,"Brasil","BRA",50.8419589062259
1976,"Brasil","BRA",55.7577189666037
1977,"Brasil","BRA",54.7597461468722
1978,"Brasil","BRA",59.6673095467695
1979,"Brasil","BRA",58.990391947537
1980,"Brasil","BRA",63.065749235474
1981,"Brasil","BRA",63.579381443299
1982,"Brasil","BRA",65.6883116883117
1983,"Brasil","BRA",61.171974522293
1984,"Brasil","BRA",62.8368674495227
1985,"Brasil","BRA",72.1615419917393
1986,"Brasil","BRA",71.9148936170213
1987,"Brasil","BRA",72.2255652024413
1988,"Brasil","BRA",73.1945926716471
1989,"Brasil","BRA",80.1789666121428
1990,"Brasil","BRA",76.4774722059684
1991,"Brasil","BRA",70.2785043213993
1992,"Brasil","BRA",63.6890928485659
1993,"Brasil","BRA",63.1729347764208
1994,"Brasil","BRA",63.4842515818794
1995,"Brasil","BRA",68.4064605032682
